Time,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
2.23,0.311555777888945,0,0.202388021691381,1,0,0,0
2.24,0.312056028014007,0,0.202425397137403,1,0,0,0
2.25,0.31255627813907,0,0.202463308287987,1,0,0,0
2.26,0.313056528264132,0,0.202501761988399,1,0,0,0
2.27,0.313556778389195,0,0.202540765158024,1,0,0,0
2.28,0.314057028514257,0,0.202580324790967,1,0,0,0
2.29,0.31455727863932,0,0.202620447956658,1,0,0,0
2.3,0.315057528764382,0,0.202661141800449,1,0,0,0
2.31,0.315557778889445,0,0.202702413544222,1,0,0,0
2.32,0.316058029014507,0,0.202744270486992,1,0,0,0
2.33,0.31655827913957,0,0.20278672000552,1,0,0,0
2.34,0.317058529264632,0,0.202829769554918,1,0,0,0
2.35,0.317558779389695,0,0.202873426669263,1,0,0,0
2.36,0.318059029514757,0,0.202917698962206,1,0,0,0
2.37,0.31855927963982,0,0.202962594127588,1,0,0,0
2.38,0.319059529764882,0,0.203008119940058,1,0,0,0
2.39,0.319559779889945,0,0.203054284255683,1,0,0,0
2.4,0.320060030015007,0,0.203101095012572,1,0,0,0
2.41,0.32056028014007,0,0.203148560231493,1,0,0,0
2.42,0.321060530265133,0,0.203196688016491,1,0,0,0
2.43,0.321560780390195,0,0.203245486555514,1,0,0,0
2.44,0.322061030515258,0,0.203294964121032,1,0,0,0
2.45,0.32256128064032,0,0.20334512907066,1,0,0,0
2.46,0.323061530765383,0,0.203395989847785,1,0,0,0
2.47,0.323561780890445,0,0.203447554982192,1,0,0,0
2.48,0.324062031015508,0,0.203499833090684,1,0,0,0
2.49,0.32456228114057,0,0.203552832877715,1,0,0,0
2.5,0.325062531265633,0,0.203606563136016,1,0,0,0
2.51,0.325562781390695,0,0.20366103274722,1,0,0,0
2.52,0.326063031515758,0,0.203716250682497,1,0,0,0
2.53,0.32656328164082,0,0.203772226003174,1,0,0,0
2.54,0.327063531765883,0,0.203828967861374,1,0,0,0
2.55,0.327563781890945,0,0.203886485500638,1,0,0,0
2.56,0.328064032016008,0,0.203944788256562,1,0,0,0
2.57,0.328564282141071,0,0.204003885557422,1,0,0,0
2.58,0.329064532266133,0,0.204063786924807,1,0,0,0
2.59,0.329564782391196,0,0.204124501974248,1,0,0,0
2.6,0.330065032516258,0,0.204186040415851,1,0,0,0
2.61,0.330565282641321,0,0.204248412054924,1,0,0,0
2.62,0.331065532766383,0,0.204311626792611,1,0,0,0
2.63,0.331565782891446,0,0.204375694626518,1,0,0,0
2.64,0.332066033016508,0,0.204440625651346,1,0,0,0
2.65,0.332566283141571,0,0.204506430059518,1,0,0,0
2.66,0.333066533266633,0,0.204573118141808,1,0,0,0
2.67,0.333566783391696,0,0.204640700287972,1,0,0,0
2.68,0.334067033516758,0,0.204709186987369,1,0,0,0
2.69,0.334567283641821,0,0.204778588829595,1,0,0,0
2.7,0.335067533766883,0,0.204848916505104,1,0,0,0
2.71,0.335567783891946,0,0.204920180805834,1,0,0,0
2.72,0.336068034017009,0,0.204992392625831,1,0,0,0
2.73,0.336568284142071,0,0.205065562961874,1,0,0,0
